test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
83.6,0.6153846153846154,0.8135593220338984,2000,active learning,uncertainty,9,0.4825
85.3,0.6153846153846154,0.8767123287671232,2500,active learning,uncertainty,9,0.4692
85.5,0.6442307692307693,0.8553191489361702,3000,active learning,uncertainty,9,0.45966666666666667
86.8,0.6794871794871795,0.8688524590163934,3500,active learning,uncertainty,9,0.4562857142857143
85.0,0.6826923076923077,0.8068181818181818,4000,active learning,uncertainty,9,0.44625
87.2,0.6506410256410257,0.9144144144144144,4500,active learning,uncertainty,9,0.42577777777777776
84.1,0.5673076923076923,0.8805970149253731,5000,active learning,uncertainty,9,0.4292
75.8,0.2916666666666667,0.8125,500,active learning,random,9,0.266
78.8,0.44551282051282054,0.7808988764044944,1000,active learning,random,9,0.27
80.5,0.40064102564102566,0.9398496240601504,1500,active learning,random,9,0.26666666666666666
82.19999999999999,0.4551282051282051,0.9466666666666667,2000,active learning,random,9,0.2725
81.89999999999999,0.44551282051282054,0.9455782312925171,2500,active learning,random,9,0.2804
83.3,0.5833333333333334,0.8310502283105022,3000,active learning,random,9,0.2806666666666667
82.8,0.5,0.9069767441860465,3500,active learning,random,9,0.2854285714285714
84.6,0.5608974358974359,0.9114583333333334,4000,active learning,random,9,0.28725
83.7,0.5096153846153846,0.9408284023668639,4500,active learning,random,9,0.28644444444444445
85.2,0.6057692307692307,0.883177570093458,5000,active learning,random,9,0.291
75.8,0.2916666666666667,0.8125,500,active learning,uncertainty_monte_carlo,9,0.266
78.9,0.34935897435897434,0.9316239316239316,1000,active learning,uncertainty_monte_carlo,9,0.38
82.8,0.5256410256410257,0.8723404255319149,1500,active learning,uncertainty_monte_carlo,9,0.484
78.8,0.49038461538461536,0.7427184466019418,2000,active learning,uncertainty_monte_carlo,9,0.4695
83.89999999999999,0.5256410256410257,0.9265536723163842,2500,active learning,uncertainty_monte_carlo,9,0.4404
84.8,0.5705128205128205,0.9081632653061225,3000,active learning,uncertainty_monte_carlo,9,0.4776666666666667
85.8,0.6217948717948718,0.8899082568807339,3500,active learning,uncertainty_monte_carlo,9,0.5014285714285714
86.6,0.6442307692307693,0.8973214285714286,4000,active learning,uncertainty_monte_carlo,9,0.47075
86.9,0.6602564102564102,0.8917748917748918,4500,active learning,uncertainty_monte_carlo,9,0.45444444444444443
87.1,0.6410256410256411,0.9216589861751152,5000,active learning,uncertainty_monte_carlo,9,0.4566
